month,activity_type,calories
Jan,Running,5398
Jan,Cycling,420
Jan,Fitness Equipment,5461
Jan,Hiking,727
Feb,Running,4280
Feb,Fitness Equipment,4683
Feb,Hiking,285
Mar,Running,3762
Mar,Fitness Equipment,4771
Mar,Hiking,706
Apr,Running,3020
Apr,Cycling,1665
Apr,Fitness Equipment,3912
Apr,Hiking,401
May,Running,2123
May,Cycling,2975
May,Fitness Equipment,2690
Jun,Running,608
Jun,Fitness Equipment,3412
Jun,Hiking,324
Jul,Running,3206
Jul,Cycling,881
Jul,Fitness Equipment,4557
Jul,Hiking,919
Aug,Running,3136
Aug,Cycling,1437
Aug,Fitness Equipment,5086
Sep,Running,3638
Sep,Cycling,468
Sep,Fitness Equipment,2932
Sep,Hiking,421
Oct,Running,564
Oct,Fitness Equipment,5691
Oct,Hiking,210
Nov,Running,2510
Nov,Fitness Equipment,5186
Nov,Hiking,707
Dec,Running,166
Dec,Fitness Equipment,322